epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.45222,0.86499,2.59092,1.24699,0.00333,1,0.07969,0.05724,0.77415,3.34613,1.13439,2e-05,2e-05,2e-05
2,10.2759,0.73679,2.63279,1.2003,0.00267,0.8,0.12064,0.09437,0.68684,3.32343,1.1077,5.802e-05,5.802e-05,5.802e-05
3,14.9532,0.57301,2.31594,1.1313,0.00333,1,0.19193,0.16361,0.60072,3.2873,1.05222,9.34e-05,9.34e-05,9.34e-05
4,19.6474,0.64412,2.24158,1.11814,0.00333,1,0.2543,0.1315,0.59364,3.3474,1.06743,0.00012614,0.00012614,0.00012614
5,24.2305,0.58455,1.77729,1.07273,0.00333,1,0.35114,0.16072,0.57127,3.41251,1.08628,0.00015624,0.00015624,0.00015624
6,29.2499,0.5,1.56537,1.00446,0.00333,1,0.38566,0.17525,0.56066,3.40385,1.095,0.0001837,0.0001837,0.0001837
7,34.0173,0.58368,1.37583,1.04642,0.00333,1,0.22713,0.14123,0.5897,3.35798,1.10413,0.00020852,0.00020852,0.00020852
8,38.6521,0.50198,1.38443,0.98104,0.00333,1,0.35928,0.16063,0.65158,3.2956,1.13001,0.0002307,0.0002307,0.0002307
9,43.2586,0.44906,1.03796,0.95077,0.00333,1,0.2331,0.18414,0.71116,3.28084,1.21851,0.00025024,0.00025024,0.00025024
10,48.0668,0.55796,1.12183,1.07209,0.00333,1,0.20058,0.09073,0.92641,3.46316,1.4201,0.00026714,0.00026714,0.00026714
11,53.0523,0.45556,1.15823,1.01762,0.00333,1,0.10265,0.04234,1.26709,3.58492,1.71972,0.0002814,0.0002814,0.0002814
12,58.7309,0.47591,1.05991,1.00612,0.00333,1,0.10265,0.04234,1.26709,3.58492,1.71972,0.00029302,0.00029302,0.00029302
13,65.3335,0.5688,1.04458,1.05577,0.00333,1,0.05359,0.02707,1.46142,3.66195,1.87834,0.000302,0.000302,0.000302
14,72.9435,0.60636,1.07797,1.06044,0.00333,1,0.04345,0.02585,1.44887,3.67241,1.83598,0.00030834,0.00030834,0.00030834
15,79.0682,0.46857,0.96708,1.002,0.00333,1,0.04345,0.02585,1.44887,3.67241,1.83598,0.00031204,0.00031204,0.00031204
16,87.7191,0.48221,1.05881,0.97499,0.18594,0.2,0.043,0.03332,1.42079,3.76902,1.92173,0.0003131,0.0003131,0.0003131
17,93.3886,0.48327,1.06744,1.05318,0.19369,0.2,0.04212,0.03254,1.39703,3.68464,1.89064,0.00031152,0.00031152,0.00031152
18,99.0546,0.4663,0.91226,0.96725,0.19369,0.2,0.04212,0.03254,1.39703,3.68464,1.89064,0.0003073,0.0003073,0.0003073
19,105.518,0.49362,0.91374,0.9563,0.19746,0.2,0.04153,0.04011,1.40297,3.75777,1.89467,0.00030044,0.00030044,0.00030044
20,111.41,0.48077,1.01255,1.08335,0.19746,0.2,0.04153,0.04011,1.40297,3.75777,1.89467,0.00029094,0.00029094,0.00029094
21,117.451,0.44968,2.0104,1.0362,0.00267,0.8,0.03051,0.02616,1.40526,3.72785,1.8807,0.0002788,0.0002788,0.0002788
22,122.951,0.41396,1.81421,0.97116,0.00267,0.8,0.03051,0.02616,1.40526,3.72785,1.8807,0.00026402,0.00026402,0.00026402
23,128.31,0.3496,1.6333,0.87886,0.00267,0.8,0.03049,0.01668,1.69649,3.83929,2.02844,0.0002466,0.0002466,0.0002466
24,133.545,0.3508,1.7045,0.90422,0.00267,0.8,0.03049,0.01668,1.69649,3.83929,2.02844,0.00022654,0.00022654,0.00022654
25,139.047,0.37765,1.6987,0.92782,0.00267,0.8,0.03519,0.01521,1.82147,4.02228,2.09143,0.00020384,0.00020384,0.00020384
26,144.133,0.38509,1.75864,1.01256,0.00267,0.8,0.03519,0.01521,1.82147,4.02228,2.09143,0.0001785,0.0001785,0.0001785
27,149.129,0.34118,1.64489,0.87878,0.00267,0.8,0.03519,0.01521,1.82147,4.02228,2.09143,0.00015052,0.00015052,0.00015052
28,154.064,0.35164,1.6081,0.8995,0.00267,0.8,0.03049,0.01486,1.60971,4.06867,1.96842,0.0001199,0.0001199,0.0001199
29,158.823,0.33662,1.62845,0.89854,0.00267,0.8,0.03049,0.01486,1.60971,4.06867,1.96842,8.664e-05,8.664e-05,8.664e-05
30,164.161,0.36197,1.57431,0.93444,0.00267,0.8,0.02712,0.01294,1.38653,3.99791,1.87186,5.074e-05,5.074e-05,5.074e-05
